date,TotalSleep,Awake,REM,Light,Deep,Restless,Efficiency,Latency,AvgRHR,LowRHR,AvgHRV,TDiff,RespR,RecPts,RPE,TSS,Beers
2020-06-01,29580.0,2100.0,6330.0,19200.0,4050.0,35.0,93.0,510.0,48.61,46.0,29.0,-0.04,16.0,6.95,4.2,39.0,nothing
2020-06-02,27870.0,3330.0,6390.0,15000.0,6480.0,44.0,89.0,150.0,47.41,44.0,33.0,-0.13,15.5,7.14,6.4,80.0,a little
2020-06-03,29280.0,3060.0,6600.0,16980.0,5700.0,38.0,91.0,1380.0,47.17,44.0,33.0,-0.19,15.5,7.14,0.0,0.0,nothing
2020-06-04,27660.0,1140.0,6600.0,14520.0,6540.0,36.0,96.0,390.0,49.43,45.0,34.0,-0.03,16.125,7.18,7.2,88.0,nothing
2020-06-05,25890.0,1110.0,5700.0,13080.0,7110.0,28.0,96.0,150.0,49.3,45.0,33.0,0.02,16.125,7.14,3.0,44.0,a little
2020-06-06,29460.0,3900.0,6060.0,18330.0,5070.0,36.0,88.0,1620.0,50.06,45.0,38.0,-0.03,15.875,7.35,0.0,0.0,nothing
2020-06-07,27330.0,2190.0,6210.0,17190.0,3930.0,30.0,93.0,1620.0,52.24,46.0,33.0,-0.1,16.25,7.14,6.0,108.0,nothing
2020-06-08,28380.0,4620.0,7140.0,16020.0,5220.0,38.0,86.0,1500.0,46.3,43.0,36.0,-0.37,15.5,7.27,3.0,39.0,nothing
2020-06-09,28380.0,3960.0,6960.0,16620.0,4800.0,37.0,88.0,150.0,46.3,43.0,38.0,-0.39,14.875,7.35,7.1,94.0,nothing
2020-06-10,26880.0,7080.0,5790.0,17280.0,3810.0,38.0,79.0,1230.0,50.33,46.0,30.0,-0.02,15.875,7.0,0.0,0.0,a little
2020-06-11,27690.0,3090.0,6300.0,18330.0,3060.0,31.0,90.0,1830.0,48.84,45.0,36.0,-0.1,15.75,7.27,9.9,76.0,nothing
